Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
depth,FLOAT,32,124,31,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,5,3500,0.01,0,0:00.02,69,113.17,37,10925,11042,zstd-11,1,31,,,
depth,FLOAT,32,124,31,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,5,3500,0,0.01,0:00.03,53,118.54,40,10925,11042,zstd-22,1,31,,,
dic,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2021.22781,2643.716987,2.03,0.06,0:02.11,99,366.08,2126,55486054,15898937,zstd,4,31,31,82,88
dic,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2021.22781,2643.716987,3.72,0.06,0:03.80,99,469.58,3814,55486054,15640085,zstd-11,4,31,31,82,88
dic,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2021.22781,2643.716987,275.6,0.54,4:36.24,99,32803.4,276856,55486054,13390429,zstd-22,4,31,31,82,88
doc,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.05454,1.656938,2.1,0.07,0:02.20,99,369.57,2217,55486059,17485240,zstd,4,31,31,82,88
doc,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.05454,1.656938,3.76,0.08,0:03.87,99,463.71,3885,55486059,17401418,zstd-11,4,31,31,82,88
doc,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.05454,1.656938,292.56,0.57,4:53.36,99,34835.1,293788,55486059,17378902,zstd-22,4,31,31,82,88
don,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.003906,1.479841,2.11,0.07,0:02.23,97,375.75,2244,55486061,17688956,zstd,4,31,31,82,88
don,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.003906,1.479841,3.85,0.09,0:03.99,99,460.7,4001,55486061,17599316,zstd-11,4,31,31,82,88
