Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
alsow,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.338804,1.29,0.03,0:01.34,99,229.24,1352,9160604,5504661,zstd-11,3,124,96,192,
alsow,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.338804,9,0.01,0:09.03,99,1162.32,9045,9160604,5483233,zstd-22,3,124,96,192,
ameltdepth,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.318769,0.02,0.01,0:00.05,82,115.99,61,9160649,40980,zstd,3,124,96,192,
ameltdepth,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.318769,0.04,0.02,0:00.07,90,117.2,87,9160649,40377,zstd-11,3,124,96,192,
ameltdepth,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.318769,16.62,0.03,0:16.68,99,1999.84,16696,9160649,41510,zstd-22,3,124,96,192,
ameltfrac,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.5,0.02,0.01,0:00.04,83,113.7,59,9160624,34253,zstd,3,124,96,192,
ameltfrac,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.5,0.03,0.02,0:00.07,84,117.52,84,9160624,33787,zstd-11,3,124,96,192,
ameltfrac,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.5,10.01,0.02,0:10.04,99,1290.85,10055,9160624,34767,zstd-22,3,124,96,192,
amlcorac,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0.03,0,0:00.04,82,119.97,56,9160660,24180,zstd,3,124,96,192,
amlcorac,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0.02,0.02,0:00.06,86,118.03,70,9160660,24180,zstd-11,3,124,96,192,
amlcorac,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0.06,0.01,0:00.09,86,115.95,103,9160660,24180,zstd-22,3,124,96,192,
ao3,FLOAT,32,429686784,107421696,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1.7E-05,41.78,0.69,0:42.50,99,5051.13,42513,429707270,354355636,zstd,4,124,47,96,192
ao3,FLOAT,32,429686784,107421696,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1.7E-05,77.15,0.48,1:17.83,99,9047.78,78006,429707270,349738363,zstd-11,4,124,47,96,192
ao3,FLOAT,32,429686784,107421696,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1.7E-05,295.01,3.89,4:59.10,99,35094.1,299130,429707270,282852730,zstd-22,4,124,47,96,192
